date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:58:17	77346/77346	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:05%20GMT	https://templates.hibotheme.com/clim/default/index-4.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/index-4.html	(from )
06:58:20	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Feb%202024%2001:58:19%20GMT	https://templates.hibotheme.com/robots.txt		(from )
06:58:20	232644/232644	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d5d-38cc4%22	https://templates.hibotheme.com/clim/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/bootstrap.min.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:20	5024/5024	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d63-13a0%22	https://templates.hibotheme.com/clim/default/assets/css/flaticon.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/flaticon.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:21	105175/105175	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d5f-19ad7%22	https://templates.hibotheme.com/clim/default/assets/css/remixicon.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/remixicon.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:21	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d62-d18%22	https://templates.hibotheme.com/clim/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/owl.carousel.min.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:21	1014/1014	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d5f-3f6%22	https://templates.hibotheme.com/clim/default/assets/css/owl-theme-default-min.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/owl-theme-default-min.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:21	3123/3123	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d61-c33%22	https://templates.hibotheme.com/clim/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/odometer.min.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:21	13058/13058	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d5e-3302%22	https://templates.hibotheme.com/clim/default/assets/css/fancybox.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/fancybox.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:22	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d5e-65c5%22	https://templates.hibotheme.com/clim/default/assets/css/aos.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/aos.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:22	128347/128347	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d62-1f55b%22	https://templates.hibotheme.com/clim/default/assets/css/style.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/style.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:22	43360/43360	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d60-a960%22	https://templates.hibotheme.com/clim/default/assets/css/responsive.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/responsive.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:22	12599/12599	---MCZ	200	added ('OK')	text/css	etag:W/%2264f42d60-3137%22	https://templates.hibotheme.com/clim/default/assets/css/dark-theme.css	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/css/dark-theme.css	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:23	4677/4677	---M--	200	added ('OK')	image/png	etag:%2264f42d7d-1245%22	https://templates.hibotheme.com/clim/default/assets/img/favicon.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/favicon.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:23	2268/2268	---M--	200	added ('OK')	image/png	etag:%2264f42d82-8dc%22	https://templates.hibotheme.com/clim/default/assets/img/uk.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/uk.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:23	957/957	---M--	200	added ('OK')	image/png	etag:%2264f42d74-3bd%22	https://templates.hibotheme.com/clim/default/assets/img/china.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/china.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:23	1336/1336	---M--	200	added ('OK')	image/png	etag:%2264f42d76-538%22	https://templates.hibotheme.com/clim/default/assets/img/uae.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/uae.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:24	76684/76684	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:00%20GMT	https://templates.hibotheme.com/clim/default/index.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/index.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:24	6719/6719	---M--	200	added ('OK')	image/png	etag:%2264f42d7f-1a3f%22	https://templates.hibotheme.com/clim/default/assets/img/logo.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/logo.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:24	6555/6555	---M--	200	added ('OK')	image/png	etag:%2264f42d7b-199b%22	https://templates.hibotheme.com/clim/default/assets/img/logo-white.png	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/assets/img/logo-white.png	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:24	86645/86645	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:52:58%20GMT	https://templates.hibotheme.com/clim/default/index-2.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/index-2.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:25	76212/76212	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:03%20GMT	https://templates.hibotheme.com/clim/default/index-3.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/index-3.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:25	83842/83842	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:07%20GMT	https://templates.hibotheme.com/clim/default/index-5.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/index-5.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:25	51359/51359	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:02%20GMT	https://templates.hibotheme.com/clim/default/about.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/about.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:25	48757/48757	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:10%20GMT	https://templates.hibotheme.com/clim/default/project-one.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/project-one.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:26	37892/37892	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:01%20GMT	https://templates.hibotheme.com/clim/default/project-two.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/project-two.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:26	40942/40942	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:09%20GMT	https://templates.hibotheme.com/clim/default/project-details.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/project-details.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:26	47405/47405	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:08%20GMT	https://templates.hibotheme.com/clim/default/event.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/event.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:26	43662/43662	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:12%20GMT	https://templates.hibotheme.com/clim/default/event-details.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/event-details.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:27	48217/48217	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:52:59%20GMT	https://templates.hibotheme.com/clim/default/team.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/team.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:27	45655/45655	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:00%20GMT	https://templates.hibotheme.com/clim/default/team-details.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/team-details.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:27	44412/44412	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:52:58%20GMT	https://templates.hibotheme.com/clim/default/donation.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/donation.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
06:58:27	45380/45380	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2006:53:10%20GMT	https://templates.hibotheme.com/clim/default/faq.html	C:/My%20Web%20Sites/climathon-2024-1/templates.hibotheme.com/clim/default/faq.html	(from https://templates.hibotheme.com/clim/default/index-4.html)
